Trial,Status,Population,Continent,c1.0f,c1.1f,c1.2f,c2.0f,c2.1f,c2.2f,c3.0f,c3.1f,c3.2f,c4.0f,c4.1f,c4.2f,c5.0f,c5.1f,c5.2f,c6.0f,c6.1f,c7.0f,c7.1f,c7.2f,c7.3f,c8.0f,c8.1f,c9.0f,c9.1f,c10.0f,c10.1f,c10.2f,c11.0f,c11.1f,c11.2f,c11.3f,c11.4f,c11.5f,c11.6f,c12.0f,c12.1f,c12.2f,c12.3f,c13.0f,c13.1f,c14.0f,c14.1f,c14.2f,c14.3f,c14.4f,c14.5f,c15.0f,c15.1f,c1.0d,c1.1d,c1.2d,c2.0d,c2.1d,c2.2d,c3.0d,c3.1d,c3.2d,c4.0d,c4.1d,c4.2d,c5.0d,c5.1d,c5.2d,c6.0d,c6.1d,c7.0d,c7.1d,c7.2d,c7.3d,c8.0d,c8.1d,c9.0d,c9.1d,c10.0d,c10.1d,c10.2d,c11.0d,c11.1d,c11.2d,c11.3d,c11.4d,c11.5d,c11.6d,c12.0d,c12.1d,c12.2d,c12.3d,c13.0d,c13.1d,c14.0d,c14.1d,c14.2d,c14.3d,c14.4d,c14.5d,c15.0d,c15.1d
c-o1,control,ON,NAm,0,0,60,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0.52,0,0.01,0,0,4.3,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,3.9,4.46,0,0,0,0,0,0,0
c-o2,control,ON,NAm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,5,23,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.13,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,6.69,2.18,1.43,0,0,0,0,0,0
c-o3,control,ON,NAm,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.66,14.25,0,0,0,0,0,0,0
c-o4,control,ON,NAm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.09,0,0,0,0,0,0,0
c-o5,control,ON,NAm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,5.45,0.99,0.04,0,0.2,0,2.47,0,0
c-o6,control,ON,NAm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0
c-o7,control,ON,NAm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.99,1.63,0,0,2.03,0,0,0,0
c-o8,control,ON,NAm,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,38.39,0,0,0,0,0,0,0,0,0.05,0,0,0.07,0,0,0.18,0,0,0,0.25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0.07,0,0.34,0,0,0,0
c-o9,control,ON,NAm,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.21,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0.19,0,0,1.23,0,0,0,0,0,0,0,0
c-o10,control,ON,NAm,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0.38,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0.02,0.02,0,0,0,0,0,0
c-o11,control,ON,NAm,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,3,0,6,0,0,0,0,9,2,2,0,71,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,76.06,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.48,0,0,0,0,0,0,0.52,0,0.39,0,0,0,0,0.39,0.04,0.11,0,4.36,0.04,0,0,0.23,0,0,0,0
c-o12,control,ON,NAm,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,46,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,75.73,0,0,0,0,0,0,0,0,0,0,0.17,0.3,0,0,0,0,0,0,0,0.02,0,0.02,0,0.08,0,0,0,0,0.28,0,0,0,5.52,0.02,0.07,0,0,0,0,0,0
c-o13,control,ON,NAm,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,0,1,0,0,0,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,90.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0.11,0.21,0,0,0,0.29,0,0,0,6.78,0,0,0,0.08,0,0,0,0
c-o14,control,ON,NAm,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,1,0,0,0,43,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,93.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.97,0.21,0.17,0,0,0,0,0.03,0,0,0,4.87,0.09,0,0,0.07,0,0,0,0
c-o15,control,ON,NAm,0,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.18,0,0,0,0,0,0,0.01,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0.02,0,0,0,7.96,0,0,0,0,0,0,0,0
c-o16,control,ON,NAm,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.79,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.17,0,0,0,0,0,0,0.32,0,0,3.54,0,0,0,0,0,0,0,0
c-s2,control,NY,NAm,0,0,0,0,1,2,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0.01,0.007,0,94.31,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.13,0.13,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0
c-s3,control,NY,NAm,0,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,37,0,0,0,0,0,0,0,0.005,0,85.05,0,0,0,0,0,0,0,0,0.38,0,0.69,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0.01,0,0,0,0.002,0,0
c-s4,control,NY,NAm,0,0,0,0,1,3,0,19,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,2,8,0,0,0,9,0,0,0,0,0,0,0.02,0.007,0,95.27,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0,0.25,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,1.87,0.12,0.2,0,0,0,0,0,0
c-s5,control,NY,NAm,0,0,0,0,1,0,0,146,1,0,0,0,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,144,0,8,0,11,0,124,0,0,0,0,0,0,0.01,0,0,86.01,0.07,0,0,0,0,0,0,0,0.22,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,12.73,0,0.2,0,0.19,0,0.04,0,0
c-s6,control,NY,NAm,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,39,0,19,0,0,0,20,0,0,0,0,0,0,0.01,0,0,92.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.17,0,0,0,0,0.48,0,0,0,5.04,0,0.66,0,0,0,0.001,0,0
c-s7,control,NY,NAm,0,14,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0.13,0.07,0,0,0.01,0,70.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.11,0,0,0,0
c-s8,control,NY,NAm,0,17,5,0,1,1,0,38,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,34,6,1,0,1,0,26,0,0,0,0.12,0.03,0,0.007,0.007,0,93.12,0,0,0,0,0,0,0,0,0.34,0,0,0.03,0,0.03,0.02,0,0,0,0,0,0,0,0.1,0.72,0,0,0,0,0,0,0,0,5.85,0.34,0.02,0,0.1,0,0,0,0
c-s9,control,NY,NAm,0,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,3,0,1,0,1,0,3,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,53,6,0,1,7,0,39,0,0,0,0,0,0,0.01,0,0,88.27,0,0,0,0,0,0,0,0,0.18,0,0.15,0,0.01,0,0.11,0,0,0,0,0,0,0,0.08,0.43,0,0,0,0,0.03,0,0,0,8.77,0.4,0,0.01,0.31,0,0.002,0,0
c-s10,control,NY,NAm,0,0,0,0,1,1,0,24,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,22,1,1,0,2,0,18,0,0,0,0,0,0,0.01,0.01,0,91.19,0,0,0,0,0,0,0,0,0.04,0,0.18,0,0,0.13,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.24,0,0,0,5.59,0.5,0.02,0,0.07,0,0,0,0
c-s11,control,NY,NAm,0,0,2,0,1,0,0,18,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0.02,0,0.01,0,0,95.53,0,0,0,0,0,0,0,0,0.13,0,0.02,0,0,0,0,0,0,0,0,0,0,0.17,0,0.46,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0
t2-s6,t2,NY,NAm,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,2.25,0.33,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-s7,t2,NY,NAm,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,16,9,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.96,1.85,0.94,0.47,0,0,0.55,0.28,0,0,0,0,0,0,0,0,0,0
t2-s8,t2,NY,NAm,0,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,9,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,2.42,0.95,0.44,0.38,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
t2-s9,t2,NY,NAm,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,30,4,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.06,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,2.35,4.53,0.27,0.06,0,0.08,0.22,0.03,0,0,0,0,0,0,0,0,0,0
t2-s10,t2,NY,NAm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612,0,0,0,1.44,0.96,0.37,0.44,0,0,0.207,0.25,0,0,0,0,0,0,0,0,0,0
t3-s1,t3,NY,NAm,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,5,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,0,0,2,0,17,0,0,0,0,0,0,0,0.01,0,79.78,0,0,0,0,0,0,0,0,0.38,0,0.04,0,0,2.02,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.21,1.58,0,0,0.09,0,0.001,0,0
c-l1,control,DE,EU,0,0,125,0,1,0,0,20,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,3,2,2,0,0,2,0,0,0,0,0,23,3,2,0,7,1,8,0,0,0,0,1.18,0,0.01,0,0,91.57,0,0,0,0,0,0,0,0,0.48,0,0.07,0.17,0,0,0,0,0,0,0,0,0,0.45,0.25,0.53,0,0,0.54,0,0,0,0,0,5.37,0.09,0.09,0,0.6,0.2,0.01,0,0
c-l2,control,DE,EU,0,0,0,0,1,1,0,72,0,0,0,0,0,0,0,0,1,0,8,5,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,0,3,0,0,0,76,3,47,0,5,2,17,0,0,0,0,0,0,0.01,0.01,0,85.89,0,0,0,0,0,0,0,0,0.06,0,0.56,0.88,0,0,0,0,0,0,0,0,0,0.22,0.06,0.49,0,0,0,0,0.17,0,0,0,8.25,0.19,1.77,0,0.34,0.62,0.001,0,0
c-l3,control,DE,EU,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.01,0,36.18,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.25,0,0,0,0.28,0.23,0,0,0,0,0,0,0,0,0.68,0,0.11,0,0,0,0.001,0,0
c-l4,control,DE,EU,0,0,6,0,1,4,0,49,0,0,0,0,0,0,1,0,10,0,8,2,2,2,2,0,0,0,1,0,0,1,0,6,0,0,0,0,4,0,0,0,26,0,9,0,4,0,12,0,0,0,0,0.05,0,0.03,0.01,0,91.21,0,0,0,0,0,0,0.01,0,0.87,0,0.77,0.1,0.1,0.14,0.22,0,0,0,0.08,0,0,0.12,0,0.53,0,0,0,0,0.14,0,0,0,2.75,0,0.34,0,0.14,0,0,0,0
c-l5,control,DE,EU,0,3,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,16,0,3,0,0,0,13,0,0,0,0.03,0,0,0,0.04,0,94.49,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.07,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.06,0,0,0,2.04,0,0.15,0,0,0,0.001,0,0
