Trial,Status,Population,Continent,c1.0f,c1.1f,c1.2f,c2.0f,c2.1f,c2.2f,c3.0f,c3.1f,c3.2f,c4.0f,c4.1f,c4.2f,c5.0f,c5.1f,c5.2f,c6.0f,c6.1f,c7.0f,c7.1f,c7.2f,c7.3f,c8.0f,c8.1f,c9.0f,c9.1f,c10.0f,c10.1f,c10.2f,c11.0f,c11.1f,c11.2f,c11.3f,c11.4f,c11.5f,c11.6f,c12.0f,c12.1f,c12.2f,c12.3f,c13.0f,c13.1f,c14.0f,c14.1f,c14.2f,c14.3f,c14.4f,c14.5f,c15.0f,c15.1f,c1.0d,c1.1d,c1.2d,c2.0d,c2.1d,c2.2d,c3.0d,c3.1d,c3.2d,c4.0d,c4.1d,c4.2d,c5.0d,c5.1d,c5.2d,c6.0d,c6.1d,c7.0d,c7.1d,c7.2d,c7.3d,c8.0d,c8.1d,c9.0d,c9.1d,c10.0d,c10.1d,c10.2d,c11.0d,c11.1d,c11.2d,c11.3d,c11.4d,c11.5d,c11.6d,c12.0d,c12.1d,c12.2d,c12.3d,c13.0d,c13.1d,c14.0d,c14.1d,c14.2d,c14.3d,c14.4d,c14.5d,c15.0d,c15.1d
c-l6,control,DE,EU,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,2,0,13,2,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,19,0,9,0,2,0,8,0,0,0,0,0,0,0.01,0,0,94.65,0,0,0,0,0,0,0,0,0.08,0,0.56,0.07,0,0,0.37,0,0,0,0,0.13,0,0,0,0.18,0,0,0,0,0,0,0,0,1.85,0,0.33,0,0.1,0,0,0,0
c-l7,control,DE,EU,0,0,0,0,0,3,0,46,0,0,0,0,0,0,0,0,20,0,5,0,0,1,1,0,0,0,6,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03,0,83,0,0,0,0,0,0,0,0,3.28,0,1.01,0,0,0.07,0.09,0,0,0,1.3,0.03,0,0,0,0.09,0,0,0,0,0.35,0,0,0,0.14,0,0,0,0,0,0,0,0
c-l8,control,DE,EU,0,0,2,0,0,2,0,28,0,0,0,0,0,0,0,0,4,0,4,5,0,2,2,0,0,0,5,2,0,0,1,4,0,0,0,0,0,0,0,0,9,2,4,0,1,0,2,0,0,0,0,0.02,0,0,0.02,0,88.1,0,0,0,0,0,0,0,0,0.28,0,0.3,0.32,0,0.09,0.21,0,0,0,0.88,0.58,0,0,0.05,0.35,0,0,0,0,0,0,0,0,0.67,0.07,0.19,0,0.02,0,0,0,0
c-l9,control,DE,EU,0,0,0,0,1,0,0,50,0,0,0,0,0,0,0,0,3,0,20,3,0,5,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,17,19,0,3,0,9,0,0,0,0,0,0,0.01,0,0,88.81,0,0,0,0,0,0,0,0,0.13,0,1.08,0.3,0,0.34,0.87,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,4.01,1.04,1.15,0,0.28,0,0,0,0
t2-l2,t2,DE,EU,0,44,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,40,23,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.35,0.33,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,3.97,4.75,2.76,1.39,0,0,1.09,0.3,0,0,0,0,0,0,0,0,0,0
t2-l3,t2,DE,EU,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,11,6,9,28,21,14,0,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.1,0,4.27,0.82,1.21,7.02,4.48,3.34,0,1.57,0.8,0.15,0,0,0,0,0,0,0,0,0,0
t2-l4,t2,DE,EU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,1.13,1.05,0.11,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-l5,t2,DE,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,29,6,22,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,1.28,7.72,2.05,6.62,1.96,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0
t2-l6,t2,DE,EU,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,25,20,29,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.15,0.07,3.66,2.21,4.5,0.4,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0
t3-l1,t3,DE,EU,0,0,52,0,1,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,9,0,11,1,6,0,0,0,0,0.46,0,0.01,0,0,24.08,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,1.19,0.6,0,0.89,0.02,0.39,0,0
t3-l2,t3,DE,EU,0,1,21,0,1,1,0,63,0,0,0,0,0,0,0,0,2,0,10,3,0,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,1,0,1,0,12,0,0,0,0.01,0.18,0,0.01,0.01,0,80.33,0,0,0,0,0,0,0,0,0.13,0,1.06,0.33,0,5.85,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,1.09,0.04,0,0.07,0,0.001,0,0
t3-l3,t3,DE,EU,0,0,0,0,1,1,0,53,0,0,0,0,0,2,7,0,1,0,18,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5,0,0,0,27,0,0,0,0,0,0,0.01,0.01,0,63.15,0,0,0,0,0,0.07,0.02,0,0.13,0,3.8,0.74,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.45,0,0.41,0,0,0,0.1,0,0
c-t1,control,IT,EU,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,4,0,8,2,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,4,4,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93.67,0,0,0,0,0,0.01,0,0,0.1,0,0.16,0.08,0,0,0.05,0,0,0,0,0.07,0,0.11,0,0,0,0,0,0,0.5,0.66,0,0,4.6,0,0.1,0,0,0,0,0,0
c-t2,control,IT,EU,0,0,4,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0.03,0,0,0,0,94.19,0,0,0,0,0,0,0,0,0.04,0,0.16,0,0,0,0,0,0,0,0.25,0,0,0.42,0.14,0.05,0,0,0,0,0,0,0,0,7.19,0,0,0,0.04,0,0,0,0
c-t3,control,IT,EU,0,0,84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,54.69,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.19,0,0,0,0.07,0.22,0,0,0,0,0.24,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0
c-t4,control,IT,EU,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,24,34,0,0,19,0,0,0,0,0,0,9,1,2,0,0,0,0,12,0,0,0,52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87.84,0,0,0,0,0,0,0.01,0,0,0,0.45,1.71,0,0,1.16,0,0,0,0,0,0,1.64,0.01,0.04,0,0,0,0,0.32,0,0,0,2.93,0.01,0,0,0.01,0,0,0,0
c-t5,control,IT,EU,0,0,64,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0.43,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.07,0,0.03,0,0.05,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.42,0.42,0,0,0,0,0,0,0
c-t6,control,IT,EU,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,89.58,0,0,0,0,0,0,0,0,0.12,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0.05,0,0,0,0
c-t7,control,IT,EU,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,64.17,0,0,0,0,0,0,0,0,0.44,0,2.4,0,0,0,0,0,0.07,0,0,2.05,0,0,0,0,0,0,0,0,0.02,0,0,0,2.31,0,0,0,0,0,0,0,0
c-t8,control,IT,EU,0,0,13,0,0,1,0,9,0,0,0,0,0,0,0,0,2,0,8,5,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.01,0,79.84,0,0,0,0,0,0,0,0,0.13,0,0.71,0.31,0.54,0,0,0,0,0,0,0,0,0.32,0,0.03,0,0,0,0,0.03,0,0,0,1.84,0,0,0,0,0,0,0,0
c-t9,control,IT,EU,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,95.02,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.27,0,0,0,0,0,0,0,0,0.38,0,0,0,0.19,0,0,0,0
c-t10,control,IT,EU,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,97.16,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.14,0.2,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0
t2-t1,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t2,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,1.13,0.43,0.84,0.09,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t3,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t4,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.15,1.08,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0
t2-t5,t2,IT,EU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.23,0.04,0.62,0.11,0.09,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
t2-t6,t2,IT,EU,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.33,0.45,0.48,0.33,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t7,t2,IT,EU,0,1,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.29,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.18,0,0.04,0.16,0.27,0.41,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t8,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.08,0.55,0.004,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t9,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.05,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t10,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.98,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3-t1,t3,IT,EU,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.01,0,99.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3-t2,t3,IT,EU,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,17.81,79.43,0,0,0,0,0,0,0,0.24,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3-t3,t3,IT,EU,0,0,5,0,0,1,0,6,0,0,0,0,0,0,2,0,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.01,0,65.34,0,0,0,0,0,0,0.01,0,0.76,0,0.17,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3-t4,t3,IT,EU,0,114,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0.01,0,0.7,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3-t5,t3,IT,EU,0,83,19,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.13,0,0,0.01,0,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3-t6,t3,IT,EU,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,18,0,4,1,9,0,0,0,0,0,0,0,0.01,0,4.4,0,0,0,0,0,0,0,0,0.06,0,0.12,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0.9,0,0.22,0.03,0,0,0
t3-t7,t3,IT,EU,0,7,41,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,19,0,0,1,9,0,0,0,0.06,0.34,0,0.01,0,0,16.92,0,0,0,0,0,0,0,0,0,0,0.39,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0.06,1.66,0,0,0.04,0,0,0
t3-t8,t3,IT,EU,0,0,69,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,0,0,3,0,0,0,0,0.41,0,0.01,0,0,4.74,0,0,0,0,0,0,0.01,0,0,0,0.1,0.12,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0.67,0.06,0,0,0,0.02,0,0
t3-t9,t3,IT,EU,0,1,149,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,7,0,1,1,5,0,0,0,0.01,1.1,0,0.01,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0.06,0.3,0,0.13,0.04,0.19,0,0
t3-t10,t3,IT,EU,0,1,41,0,1,0,0,16,0,0,0,0,0,0,1,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,4,0,2,0,4,0,0,0,0.01,0.32,0,0.01,0,0,93.3,0,0,0,0,0,0,0.01,0,0.08,0,0.31,0,0,0.04,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0.88,0.2,0,0.06,0,0,0,0
